Study ID;Title;Educational Level;Course Context;Instructional Objective;Additional Notes;;;;;;;;;;;;;;;;;;;
1;A bidirectional lstm language model for code evaluation and repair;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);"Introduction to programming and logic; Code quality and style assessment";;;;;;;;;;;;;;;;;;;;
2;A Code-Driven Exploration of Key C Language Concepts in a CS1 Class;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
3;A Comparative Study of Large Language Models in Programming Education: Accuracy, Efficiency, and Feedback in Student Assignment Grading;Undergraduate / Higher Education;Introductory Programming / CS1 (Python) / other;Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
4;A Fast and Accurate Machine Learning Autograder for the Breakout Assignment;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
5;A Knowledge-Component-Based Methodology for Evaluating AI Assistants;Undergraduate / Higher Education;Introductory Programming / CS1 (Python);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
6;A Machine Learning-Based Adaptive Feedback System to Enhance Programming Skill Using Computational Thinking;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
7;A model with iterative trials for correcting logic errors in source code;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Code quality and style assessment;;;;;;;;;;;;;;;;;;;;
8;A multilayer inference engine for individualized tutoring model: adapting learning material and its granularity;Not reported / unclear educational context;Interdisciplinary courses (programming as part of another course);Other / specify;The model aims to reduce time spent debugging logic errors, provide students with a step-by-step correction process, offer pedagogical support that considers the learning process, and help students develop debugging skills rather than simply providing solutions.;;;;;;;;;;;;;;;;;;;
9;A Novel Graph Neural Network-Based Automated Fault Localization Technique for Novice Programs;Not reported / unclear educational context;Programming courses (focused on languages and paradigms);Not specified;;;;;;;;;;;;;;;;;;;;
10;A Novel Rule-Based Online Judge Recommender System to Promote Computer Programming Education;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
11;A Personalized Learning Framework for Software Vulnerability Detection and Education;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Advanced programming skills development;;;;;;;;;;;;;;;;;;;;
12;A Study of Automated Evaluation of Programming Short-Answer Questions Based on Large Language Models;Undergraduate / Higher Education;Introductory Programming / CS1;Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
13;AceCoder: An Effective Prompting Technique Specialized in Code Generation;Not reported / unclear educational context;Other / specify;Code quality and style assessment;;;;;;;;;;;;;;;;;;;;
14;Advanced Deep Learning Model for Improving Student Evaluation in Programming Education;Undergraduate / Higher Education;Introductory Programming;Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
15;Ai-Based Automated Grading of Source Code of Introductory Programming Assignments;Undergraduate / Higher Education;Introductory Programming;Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
16;AI-Tutoring in Software Engineering Education Experiences with Large Language Models in Programming Assessments;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
17;An AI-based Approach for Grading Students’ Collaboration;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Advanced programming skills development;;;;;;;;;;;;;;;;;;;;
18;An Evaluation of code2vec Embeddings for Scratch;Elementary school;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
19;Applying Large Language Models to Enhance the Assessment of Parallel Functional Programming Assignments;Undergraduate & Postgraduate;Computing / Computer Science (Java programming);Advanced programming skills development;;;;;;;;;;;;;;;;;;;;
20;Artificial Intelligence in the Assessment Process of MOOCs using a cloud-computing ecosystem;Undergraduate / Higher Education;Other / specify;Preparation for certifications or specific competencies;;;;;;;;;;;;;;;;;;;;
21;Automated Assessment of Student Self-explanation During Source Code Comprehension;Not reported / unclear educational context;Other / specify;Other / specify;Improving code comprehension and programming learning through automatic assessment of students' self-explanations.;;;;;;;;;;;;;;;;;;;
22;Automated Assessment of Student Self-Explanation in Code Comprehension Using Pre-Trained Language Models;Undergraduate / Higher Education;Computing / CS Education;Advanced programming skills development (code reading/comprehension and line-by-line explanation);;;;;;;;;;;;;;;;;;;;
23;Automated Grading Method of Python Code Submissions Using Large Language Models and Machine Learning;Not reported / unclear educational context;Computing;Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
24;Automated Grading Through Contrastive Learning: A Gradient Analysis and Feature Ablation Approach;Undergraduate / Higher Education;Computing / Software Engineering (Introduction to Databases course);"Code quality and style assessment; Introduction to programming and logic (SQL/database context)";;;;;;;;;;;;;;;;;;;;
25;Automatic Creativity Measurement in Scratch Programs Across Modalities;Elementary school;Other / specify;Not specified;;;;;;;;;;;;;;;;;;;;
26;Automatic Grading of Short Answers Using Large Language Models in Software Engineering Courses;Undergraduate / Higher Education;Other / specify;Other / specify;The study aims to automate short-answer assessment, reduce instructor workload, provide immediate feedback to students, support assessment across software engineering topics, and contribute a new approach and dataset for AI in education research.;;;;;;;;;;;;;;;;;;;
27;Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Other / specify;The study used datasets containing student programs, including 25 BasicAlgo programs, 24 DataRegex programs, and 30 DataAnalysis programs, totaling 79 student programs.;;;;;;;;;;;;;;;;;;;
28;BeGrading: large language models for enhanced feedback in programming education;Undergraduate / Higher Education;Computing (introductory/intermediate programming and data structures);Code quality and style assessment (correctness, efficiency, readability, error handling);;;;;;;;;;;;;;;;;;;;
29;Beyond Generating Code: Evaluating GPT on a Data Visualization Course;Undergraduate / Higher Education;Other / specify;Other / specify;Extraction issue or not mentioned.;;;;;;;;;;;;;;;;;;;
30;Can Language Models Employ the Socratic Method? Experiments with Code Debugging;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Advanced programming skills development;;;;;;;;;;;;;;;;;;;;
31;Can Small Language Models With Retrieval-Augmented Generation Replace Large Language Models When Learning Computer Science?;Undergraduate / Higher Education;Other / specify;Other / specify;Demonstrating how SLMs with RAG can replace LLMs in computing education with attention to performance, cost, and privacy.;;;;;;;;;;;;;;;;;;;
32;ChatGPT and Software Testing Education: Promises & Perils;Undergraduate / Higher Education;Other / specify;Other / specify;Enabling students to use ChatGPT as a learning support tool for software testing practices.;;;;;;;;;;;;;;;;;;;
33;ChatGPT in the Classroom: An Analysis of Its Strengths and Weaknesses for Solving Undergraduate Computer Science Questions;Undergraduate / Higher Education;Other / specify;Other / specify;Enabling students to use ChatGPT ethically and responsibly to support learning.;;;;;;;;;;;;;;;;;;;
34;ChatGPT, Can You Generate Solutions for my Coding Exercises? An Evaluation on its Effectiveness in an undergraduate Java Programming Course.;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Other / specify;Enabling students to use ChatGPT to support code solution generation and exercise comprehension.;;;;;;;;;;;;;;;;;;;
35;CodeLens: A Generative AI Framework for Automated Feedback on SQL Assignments;Undergraduate & Postgraduate;Computing (databases, SQL);Code quality and style assessment;;;;;;;;;;;;;;;;;;;;
36;CodeTailor: LLM-Powered Personalized Parsons Puzzles for Engaging Support While Learning Programming;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
