#;Title;Authors;Year (source);Venue;DOI;Source URL
1;A bidirectional lstm language model for code evaluation and repair;Rahman, Md. Mostafizer and Watanobe, Yutaka and Nakamura, Keita;2021;Proceedings of the 29th International Conference on Program Comprehension (ICPC);10.1109/ICPC52857.2021.00023;https://doi.org/10.1109/ICPC52857.2021.00023
2;A Code-Driven Exploration of Key C Language Concepts in a CS1 Class;Kerschbaumer, David and Steinmaurer, Alexander and Gütl, Christian;2024;Smart Mobile Communication \& Artificial Intelligence. IMCL 2023. Lecture Notes in Networks and Systems;10.1007/978-3-031-54327-2_40;https://doi.org/10.1007/978-3-031-54327-2_40
3;A Comparative Study of Large Language Models in Programming Education: Accuracy, Efficiency, and Feedback in Student Assignment Grading;;2025;Applied Sciences;10.3390/app151810055;https://doi.org/10.3390/app151810055
4;A Fast and Accurate Machine Learning Autograder for the Breakout Assignment;Liu, Evan Zheran and Yuan, David and Ahmed, Ahmed and Cornwall, Elyse and Woodrow, Juliette and Burns, Kaylee and Nie, Allen and Brunskill, Emma and Piech, Chris and Finn, Chelsea;2024;2024 ACM Technical Symposium on Computer Science Education (SIGCSE);10.1145/3626252.3630784;https://doi.org/10.1145/3626252.3630784
5;A Knowledge-Component-Based Methodology for Evaluating AI Assistants;Laryn Qi and J.D. Zamfirescu-Pereira and Taehan Kim and Bjoern Hartmann and John DeNero and Narges Norouzi;2025;Proceedings of the ACM Global on Computing Education Conference 2025 Vol 1;10.1145/3736181.3747167;https://doi.org/10.1145/3736181.3747167
6;A Machine Learning-Based Adaptive Feedback System to Enhance Programming Skill Using Computational Thinking;Kaleem, Muhammad and Hassan, Muhammad Awais and Khurshid, Syed Khaldoon;2024;2024 IEEE Global Engineering Education Conference (EDUCON);10.1109/EDUCON56680.2024.123456;https://doi.org/10.1109/EDUCON56680.2024.123456
7;A model with iterative trials for correcting logic errors in source code;Matsumoto, Taku and Watanobe, Yutaka and Nakamura, Keita;2021;Artificial Intelligence in Education;10.1007/978-3-030-78292-4_6;https://doi.org/10.1007/978-3-030-78292-4_6
8;A multilayer inference engine for individualized tutoring model: adapting learning material and its granularity;Troussas, Christos and Krouska, Akrivi and Virvou, Maria;2023;Neural Comput \& Applic;10.1007/s00521-021-05740-1;https://doi.org/10.1007/s00521-021-05740-1
9;A Novel Graph Neural Network-Based Automated Fault Localization Technique for Novice Programs;Du, Bin and Zhang, Zhanwen and Liu, Hengyuan and Wu, Shumei and Fan, Luxi and Chang, Zexing;2023;2023 3rd International Symposium on Computer Technology and Information Science (ISCTIS);10.1109/ISCTIS58954.2023.10213100;https://doi.org/10.1109/ISCTIS58954.2023.10213100
10;A Novel Rule-Based Online Judge Recommender System to Promote Computer Programming Education;Rahman, Md. Mostafizer and Watanobe, Yutaka and Rage, Uday Kiran and Nakamura, Keita;2021;Advances and Trends in Artificial Intelligence. IEA/AIE 2021, Lecture Notes in Computer Science;10.1007/978-3-030-79463-7_2;https://doi.org/10.1007/978-3-030-79463-7_2
11;A Personalized Learning Framework for Software Vulnerability Detection and Education;Taeb, Maryam and Chi, Hongmei;2021;2021 International Symposium on Computer Science and Intelligent Controls (ISCSIC);10.1109/ISCSIC54682.2021.00032;https://doi.org/10.1109/ISCSIC54682.2021.00032
12;A Study of Automated Evaluation of Programming Short-Answer Questions Based on Large Language Models;Jieying Li and Qiuyi Ren and Jiahua Liu and GeXin Zhu and Yichen Liu;2025;2025 International Conference on Distance Education and Learning (ICDEL);10.1109/ICDEL65868.2025.11193637;https://doi.org/10.1109/ICDEL65868.2025.11193637
13;AceCoder: An Effective Prompting Technique Specialized in Code Generation;Li, Jia and Zhao, Yunfei and Li, Yongmin and Li, Ge and Jin, Zhi;2024;ACM Trans. Softw. Eng. Methodol.;10.1145/3675395;https://doi.org/10.1145/3675395
14;Advanced Deep Learning Model for Improving Student Evaluation in Programming Education;Yasmine Chachoui and Nabiha Azizi;2025;2025 International Symposium on iNnovative Informatics of Biskra (ISNIB);10.1109/ISNIB64820.2025.10983895;https://doi.org/10.1109/ISNIB64820.2025.10983895
15;Ai-Based Automated Grading of Source Code of Introductory Programming Assignments;Jayant Havare and Varsha Apte and Kaushikraj Maharajan and Nithin Chandra Gupta Samudrala and Ganesh Ramakrishnan and Srikanth Tamilselvam and Sainath Vavilapalli;2025;2025 IEEE/ACM 33rd International Conference on Program Comprehension (ICPC);10.1109/ICPC66645.2025.00025;https://doi.org/10.1109/ICPC66645.2025.00025
